COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,Annual_elec_demand,utilisation_1,cost,Annual_Energy
Wajir,1,9900,40.94246191,2.01694795,2539.999596835579,0.2942250267136511,70.61400641127626,6.089229459427041,39171.35470649522,1159.654220321016
Wajir,2,9900,40.94256157,2.114009849,3253.919961251172,0.36003880729579396,86.40931375099055,6.095450257629924,47933.40657051824,1417.603459938476
Mandera,3,9900,40.94263238,2.21107241,11206.153348636626,1.036555706457704,248.77336954984895,6.083481752010067,138000.80742353995,4089.325483184868
Mandera,4,9900,40.94272046,2.308133492,14135.51585438881,1.2746544326041411,305.9170638249939,6.050075537634457,169699.84323031973,5056.417261603408
Wajir,5,9900,40.94266496,1.628698501,0.0,,0.0,,,0.0
Wajir,6,9900,40.9426522,1.725759044,0.0,,0.0,,,0.0
Wajir,7,9900,40.94255661,1.822820973,0.0,,0.0,,,0.0
Wajir,8,9900,40.94245352,1.919882851,1934.2844347371938,0.2366345470255083,56.79229128612199,6.106258095120615,31504.10378369402,930.0669968651266
Mandera,9,10000,40.94284429,2.79344058,28461.17503917861,2.4077753150610124,614.2500687167629,6.447372183336574,320556.7587953328,9527.138363507393
Mandera,10,10000,40.94316901,2.890506335,35265.75404190067,2.9357332666028886,875.9710377830922,7.5031418143991475,390845.91271590895,11674.723195315748
Mandera,11,10000,40.94316901,2.987568535,36409.49106982034,3.0240536613336277,911.3978148179085,7.499813359432041,402604.3601479912,12152.27327853034
Mandera,12,10000,40.94316901,3.084630735,40673.18544777056,3.3524055873102125,1130.1244621075111,8.34992932683461,446319.16546095785,13534.539250237365
Mandera,13,10000,40.94278032,2.405194845,13848.654522191471,1.2514815103328236,300.3555624798777,6.021080801821436,166614.73939665014,4988.3994645781395
Mandera,14,10000,40.94281639,2.502256905,14456.111915925972,0.6603638499627374,158.487323991057,6.080060049402581,87916.88080093909,2606.6736628140666
Mandera,15,10000,40.94277583,2.599319735,21507.44009655991,0.946298340756109,229.9392184555879,6.230825927989137,125984.48329822381,3690.3489378942695
Mandera,16,10000,40.94279685,2.696382126,25855.05850093284,2.2042256386054344,542.5452399545351,6.284004106137527,293457.37617009593,8633.750563985728
Mandera,17,10000,40.94316901,3.569941735,55536.065803239835,4.4882946438792235,3079.6713177707516,17.895637964027017,597544.6191182166,17209.061358758845
Mandera,18,10000,40.94316901,3.667003935,56196.76838394096,4.538534684746322,3088.529089148862,17.631507305135045,604233.2767190168,17517.101831953703
Mandera,19,10000,40.94316901,3.764066135,57157.88937768202,4.611585890057132,3323.8037288301534,18.538110583383865,613958.8758868662,17929.571160339045
Mandera,20,10000,40.94316901,3.861128335,56758.04801792702,4.581200110824515,3381.824686706401,18.946408379368943,609913.495554511,17849.4235899028
Mandera,21,10000,40.94316901,3.181692935,44704.82075985886,3.661735190539598,1288.7591909356706,8.709529022119613,487501.45285729883,14797.116901070145
Mandera,22,10000,40.94316901,3.278755135,43891.98137665825,1.8304034328637226,706.3258067400152,9.74099231978269,243688.93063087884,7251.066252311475
Mandera,23,10000,40.94316901,3.375817335,52065.31338520828,2.1484211246359575,1309.619998393866,15.660111685979,286027.89800728357,8362.775596079628
Mandera,24,10000,40.94316901,3.472879535,53370.26630679598,4.323473450002615,2718.067833008068,16.411875027943424,575601.3142926481,16561.59231276251
Mandera,25,10000,40.94316901,3.958190535,56035.99325129437,4.526310996542136,3357.629843067797,18.699269903514505,602605.8882136408,17955.940848988626
Mandera,26,10000,40.94316901,4.055252735,55535.71991490829,4.488268337543298,3260.5430133887985,18.035490835045728,597541.1168504894,18078.482272592566
Mandera,27,4100,40.93170035,4.129481224,55113.5828629701,0.38357964363925473,273.81620241252614,17.449342066483837,51067.49227626854,1569.2064570071323
Garissa,28,10000,40.94316901,-1.089043865,0.0,,0.0,,,0.0
Garissa,29,10000,40.94316901,-0.991981665,0.0,,0.0,,,0.0
Garissa,30,10000,40.94316901,-0.894919465,0.0,,0.0,,,0.0
Garissa,31,10000,40.94274801,-0.797857255,0.0,,0.0,,,0.0
Garissa,32,10000,40.94316901,-1.477292665,0.0,,0.0,,,0.0
Garissa,33,10000,40.94316901,-1.380230465,0.0,,0.0,,,0.0
Garissa,34,10000,40.94316901,-1.283168265,0.0,,0.0,,,0.0
Garissa,35,10000,40.94316901,-1.186106065,0.0,,0.0,,,0.0
Garissa,36,10000,40.94275455,-0.312546253,0.0,,0.0,,,0.0
Garissa,37,10000,40.94275608,-0.215484053,0.0,,0.0,,,0.0
Garissa,38,10000,40.94275761,-0.118421853,0.0,,0.0,,,0.0
Garissa,39,10000,40.94275913,-0.021359654,0.0,,0.0,,,0.0
Garissa,40,10000,40.94274931,-0.700795055,0.0,,0.0,,,0.0
Garissa,41,10000,40.94275061,-0.603732855,0.0,,0.0,,,0.0
Garissa,42,10000,40.94275191,-0.506670655,0.0,,0.0,,,0.0
Garissa,43,10000,40.94275321,-0.409608455,0.0,,0.0,,,0.0
Wajir,44,9900,40.94266407,0.463950825,0.0,,0.0,,,0.0
Wajir,45,9900,40.94261425,0.561013005,0.0,,0.0,,,0.0
Wajir,46,9900,40.94256261,0.658075125,0.0,,0.0,,,0.0
Wajir,47,9900,40.94233785,0.755135306,0.0,,0.0,,,0.0
Garissa,48,10000,40.94275951,0.075702535,0.0,,0.0,,,0.0
Garissa,49,10000,40.94275951,0.172764735,0.0,,0.0,,,0.0
Garissa,50,10000,40.94275951,0.269826935,0.0,,0.0,,,0.0
Garissa,51,10000,40.94272262,0.366888662,0.0,,0.0,,,0.0
Wajir,52,9900,40.94255083,1.240448807,0.0,,0.0,,,0.0
Wajir,53,9900,40.94254354,1.337511135,0.0,,0.0,,,0.0
Wajir,54,9900,40.94254354,1.434573335,0.0,,0.0,,,0.0
Wajir,55,9900,40.94258081,1.53163651,0.0,,0.0,,,0.0
Wajir,56,9800,40.9421708,0.85219662,0.0,,0.0,,,0.0
Wajir,57,9800,40.94198982,0.949257749,0.0,,0.0,,,0.0
Wajir,58,9900,40.94257237,1.046324414,0.0,,0.0,,,0.0
Wajir,59,9900,40.94256165,1.14338661,0.0,,0.0,,,0.0
Garissa,61,10000,40.85911068,-1.719948165,0.0,,0.0,,,0.0
Garissa,62,10000,40.85911068,-1.622885965,0.0,,0.0,,,0.0
Garissa,63,10000,40.85911068,-1.525823765,0.0,,0.0,,,0.0
Lamu,64,7000,40.85416021,-2.19450526,0.0,,0.0,,,0.0
Lamu,65,9700,40.85829913,-2.109685111,0.0,,0.0,,,0.0
Lamu,66,6900,40.85362764,-2.01642892,0.0,,0.0,,,0.0
Lamu,67,9800,40.859547,-1.913098171,0.0,,0.0,,,0.0
Garissa,68,10000,40.85911068,-1.040512765,0.0,,0.0,,,0.0
Garissa,69,10000,40.85911068,-0.943450565,0.0,,0.0,,,0.0
Garissa,70,10000,40.85911068,-0.846388365,0.0,,0.0,,,0.0
Garissa,71,10000,40.85911068,-0.749326165,0.0,,0.0,,,0.0
Garissa,72,10000,40.85911068,-1.428761565,0.0,,0.0,,,0.0
Garissa,73,10000,40.85911068,-1.331699365,0.0,,0.0,,,0.0
Garissa,74,10000,40.85911068,-1.234637165,0.0,,0.0,,,0.0
Garissa,75,10000,40.85911068,-1.137574965,0.0,,0.0,,,0.0
Garissa,76,10000,40.85911068,-0.264015165,0.0,,0.0,,,0.0
Garissa,77,10000,40.85911068,-0.166952965,0.0,,0.0,,,0.0
Garissa,78,10000,40.85911068,-0.069890765,0.0,,0.0,,,0.0
Garissa,79,10000,40.85911068,0.027171435,0.0,,0.0,,,0.0
Garissa,80,10000,40.85911068,-0.652263965,0.0,,0.0,,,0.0
Garissa,81,10000,40.85911068,-0.555201765,0.0,,0.0,,,0.0
Garissa,82,10000,40.85911068,-0.458139565,0.0,,0.0,,,0.0
Garissa,83,10000,40.85911068,-0.361077365,0.0,,0.0,,,0.0
Wajir,84,10000,40.85911068,0.512482435,0.0,,0.0,,,0.0
Wajir,85,10000,40.85911068,0.609544635,0.0,,0.0,,,0.0
Wajir,86,10000,40.85911068,0.706606835,0.0,,0.0,,,0.0
Wajir,87,10000,40.85911068,0.803669035,0.0,,0.0,,,0.0
Garissa,88,10000,40.85911068,0.124233635,0.0,,0.0,,,0.0
Garissa,89,10000,40.85911068,0.221295835,0.0,,0.0,,,0.0
Garissa,90,10000,40.85911068,0.318358035,0.0,,0.0,,,0.0
Wajir,91,10000,40.85911068,0.415420235,0.0,,0.0,,,0.0
Lamu,92,400,40.81633651,-2.386385691,0.0,,0.0,,,0.0
Lamu,93,4600,40.85653078,-2.287563109,0.0,,0.0,,,0.0
