COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,pv_kw,Annual_elec_demand,total_supplied,utilisation_1,utilisation_2,cost,tier3_hh
Wajir,1,9900,40.94246191,2.01694795,42256.227870721115,3.473989498156307,9.012317320111277,1630.550145571793,1177.0112082912856,11.908491647664922,20.504626014467583,3852.6543534553443,3.0
Wajir,2,9900,40.94256157,2.114009849,44455.11227997075,3.6426056213320948,9.43550022262952,1836.5222789428315,915.9975394999999,12.804970948963394,19.19167369529287,4039.649634057293,3.0
Mandera,3,9900,40.94263238,2.21107241,48534.438836698304,3.954666884238976,10.241087228124815,2214.493817855038,2153.4565030664394,14.19402392709652,27.99682296136663,4385.725574621024,6.0
Mandera,4,9900,40.94272046,2.308133492,50682.558591894645,4.118635553213015,10.702581694730979,2386.3731172054895,2098.86261607438,14.606109063645986,27.45247246715726,4567.566828513234,6.0
Wajir,5,9900,40.94266496,1.628698501,34665.03913500634,2.889301451509505,7.325172157237226,1278.9662477298166,274.0012742125,11.370184925382386,13.806093740893736,3204.235309724041,1.0
Wajir,6,9900,40.9426522,1.725759044,34868.72732542947,2.9050488556786314,7.396349623511863,1321.3150753898365,1695.5289462530884,11.663872906299751,26.631108584144105,3221.699180947602,5.0
Wajir,7,9900,40.94255661,1.822820973,37043.31856443496,3.0729525472824477,7.882672248963406,1423.1749178004839,1002.7868498624999,11.817890783213846,20.144924461430666,3407.9043749362345,3.0
Wajir,8,9900,40.94245352,1.919882851,40221.61649771714,3.3176923018571105,8.55864499521574,1511.4744193211438,647.550056925,11.5912056594544,16.557142091233533,3679.3207627595357,2.0
Mandera,9,10000,40.94284429,2.79344058,60052.10139708119,4.831338693389133,12.085601503941595,3831.606843698622,5552.832557914162,20.04319451905138,49.09014730676524,5357.954610968549,15.0
Mandera,10,10000,40.94316901,2.890506335,60785.35968192386,4.886962134526298,12.392607830407945,4041.6015307962098,3673.198745909925,20.79622565090464,39.69681973433816,5419.641007189664,10.0
Mandera,11,10000,40.94316901,2.987568535,61122.18210400269,4.912506008181888,12.600950982813822,4109.813194086814,3672.9592801831745,20.818572804456686,39.424228723883125,5447.969163073713,10.0
Mandera,12,10000,40.94316901,3.084630735,61451.87851221641,4.937505379374503,12.738587771525697,4223.726361655957,2254.845582104909,21.18855169729695,32.500106493929195,5475.693465726324,6.0
Mandera,13,10000,40.94278032,2.405194845,51259.420202213376,4.162628843113443,10.82522919224861,2463.943124482405,1828.7631229202239,14.84999143844781,25.871802960180577,4616.355387012808,5.0
Mandera,14,10000,40.94281639,2.502256905,51732.81998646088,2.135517661357585,5.4381366986741915,1357.5950193582337,1433.6985280768852,16.10510999633641,33.11303369008932,2368.2890864455617,4.0
Mandera,15,10000,40.94277583,2.599319735,54927.19099731354,2.259379944661316,5.605539061134917,1561.7732240748633,1983.6040295400217,17.7251267511827,40.23776322475325,2505.6523586293993,5.0
Mandera,16,10000,40.94279685,2.696382126,57918.71786416494,4.669386658872876,11.622224792773899,3604.6887773267395,3947.057414414561,19.70899541750975,41.289925505747746,5178.3498046900195,11.0
Mandera,17,10000,40.94316901,3.569941735,64017.59169170689,5.131917253889805,12.090213076248755,4738.11636930754,2194.4548874646134,24.07965464813693,35.23212784895591,5691.296234563793,6.0
Mandera,18,10000,40.94316901,3.667003935,64636.523053899364,5.178780878460193,12.20954980120352,4929.580735165533,1382.171690575,24.662429233412546,31.577360408809447,5743.267994212354,4.0
Mandera,19,10000,40.94316901,3.764066135,64813.91007983261,5.1922096709638454,12.22542192603449,5138.659779724766,1371.1175925750003,25.45528961893506,32.24737100138514,5758.160525098905,4.0
Mandera,20,10000,40.94316901,3.861128335,64354.173039138535,5.157403817313465,12.119360450902713,5118.677517291381,2091.805318479826,25.47309401586366,35.88296128343799,5719.560833400633,6.0
Mandera,21,10000,40.94316901,3.181692935,61588.548699598,4.947867278781874,12.772740381381807,4148.188301609763,975.3161203999999,20.746758407518787,25.62470667063041,5487.184812169098,3.0
Mandera,22,10000,40.94316901,3.278755135,60854.511095153044,2.488636612044308,6.220207096673449,2087.355193714297,585.1577527162501,21.17287429947942,27.10836222263488,2759.898002757138,2.0
Mandera,23,10000,40.94316901,3.375817335,60909.771459363736,2.490770721501574,6.09916077381918,2195.8135809337978,2138.464713100379,22.648043241476568,44.70457923943356,2762.2647301452457,6.0
Mandera,24,10000,40.94316901,3.472879535,61913.848430528175,4.97252771594758,11.864976896232161,4481.318985950911,3471.13346700846,23.52660997899127,41.74981692305199,5514.533236985866,10.0
Mandera,25,10000,40.94316901,3.958190535,64522.65626540696,5.170160214795519,12.529497762817835,5144.01738981513,1642.1324258375,25.08041111174353,33.08686855908302,5733.70767820823,4.0
Mandera,26,10000,40.94316901,4.055252735,63966.50455354835,5.128048498743757,12.786765404255586,4969.396703581317,2145.4072882308196,24.058491328031874,34.445116851769946,5687.005785106827,6.0
Mandera,27,4100,40.93170035,4.129481224,63480.395654927794,0.43891170531555584,1.1248578484147045,424.93966326238774,1370.6276809862663,23.666038738313183,99.99999999999999,486.75308119495145,4.0
Garissa,28,10000,40.94316901,-1.089043865,42587.007710808655,1.7794524321272696,4.082635036916502,427.0685837105447,944.9675110249998,6.744552513587144,21.6681110351888,1973.412747229142,3.0
Garissa,29,10000,40.94316901,-0.991981665,43097.0741528736,1.7993736516911325,4.161124191447333,431.8496764058718,741.5828878262502,6.69586709129557,18.194174778799503,1995.505379725466,2.0
Garissa,30,10000,40.94316901,-0.894919465,42261.82899349586,1.7667478839073452,4.123456998262836,424.0194921377628,336.59129508875,6.682913761576052,11.987883555852598,1959.3234032532457,1.0
Garissa,31,10000,40.94274801,-0.797857255,42692.76957941122,1.7835837588530608,4.207216327894789,428.06010212473456,145.25192364875,6.625053268640718,8.873106116287548,1977.9943885680443,0.0
Garissa,32,10000,40.94316901,-1.477292665,35366.77966861422,1.4964884807069097,3.2731096985737893,359.15723536965834,704.6549275162499,7.149950424851679,21.177922862001896,1659.6057251039629,2.0
Garissa,33,10000,40.94316901,-1.380230465,36319.23379806435,1.5339286218990156,3.4205026168545514,368.14286925576374,627.66437886625,7.053393665249545,19.079061750979246,1701.1268416860082,2.0
Garissa,34,10000,40.94316901,-1.283168265,38884.02006509133,1.6345691109543756,3.697075083929346,392.2965866290501,127.26835211374997,6.92613171400629,9.173098421870804,1812.7371440484026,0.0
